"Date","Province","Deaths"
2020-06-26,"GP",149
2020-06-27,"GP",166
2020-06-28,"GP",174
2020-06-29,"GP",180
2020-06-30,"GP",216
2020-07-01,"GP",244
2020-07-02,"GP",282
2020-07-03,"GP",282
2020-07-04,"GP",282
2020-07-05,"GP",353
2020-07-06,"GP",403
2020-07-07,"GP",478
2020-07-08,"GP",478
2020-07-09,"GP",515
2020-07-10,"GP",554
2020-07-11,"GP",580
2020-07-12,"GP",644
2020-07-13,"GP",644
2020-07-14,"GP",726
2020-07-15,"GP",767
2020-07-16,"GP",853
2020-07-17,"GP",917
2020-07-18,"GP",956
2020-07-19,"GP",986
2020-07-20,"GP",999
2020-07-21,"GP",1042
2020-07-22,"GP",1156
2020-07-23,"GP",1187
2020-07-24,"GP",1326
2020-07-25,"GP",1535
2020-07-26,"GP",1564
2020-07-27,"GP",1625
2020-07-28,"GP",1680
2020-07-29,"GP",1836
2020-07-30,"GP",1932
2020-07-31,"GP",2035
2020-08-01,"GP",2075
2020-08-02,"GP",2115
2020-08-03,"GP",2152
2020-08-04,"GP",2268
2020-08-05,"GP",2313
2020-03-27,"KZN",0
2020-03-28,"KZN",1
2020-03-30,"KZN",1
2020-03-31,"KZN",2
2020-04-03,"KZN",6
2020-04-05,"KZN",7
2020-04-06,"KZN",7
2020-04-07,"KZN",8
2020-04-08,"KZN",9
2020-04-09,"KZN",9
2020-04-10,"KZN",12
2020-04-11,"KZN",12
2020-04-12,"KZN",12
2020-04-13,"KZN",12
2020-04-14,"KZN",12
2020-04-15,"KZN",18
2020-04-16,"KZN",20
2020-04-17,"KZN",20
2020-04-18,"KZN",21
2020-04-19,"KZN",22
2020-04-20,"KZN",23
2020-04-21,"KZN",23
2020-04-22,"KZN",25
2020-04-23,"KZN",27
2020-04-24,"KZN",29
2020-04-25,"KZN",29
2020-04-26,"KZN",29
2020-04-27,"KZN",30
2020-04-28,"KZN",30
2020-04-29,"KZN",32
2020-04-30,"KZN",32
2020-05-01,"KZN",32
2020-05-02,"KZN",34
2020-05-03,"KZN",34
2020-05-04,"KZN",35
2020-05-05,"KZN",36
2020-05-06,"KZN",38
2020-05-07,"KZN",40
2020-05-08,"KZN",42
2020-05-09,"KZN",42
2020-05-10,"KZN",43
2020-05-11,"KZN",44
2020-05-12,"KZN",44
2020-05-13,"KZN",44
2020-05-14,"KZN",44
2020-05-15,"KZN",45
2020-05-16,"KZN",45
2020-05-17,"KZN",45
2020-05-18,"KZN",45
2020-05-19,"KZN",46
2020-05-20,"KZN",46
2020-05-21,"KZN",46
2020-05-22,"KZN",47
2020-05-23,"KZN",48
2020-05-24,"KZN",49
2020-05-25,"KZN",49
2020-05-26,"KZN",49
2020-05-27,"KZN",49
2020-05-28,"KZN",50
2020-05-29,"KZN",50
2020-05-30,"KZN",52
2020-05-31,"KZN",52
2020-06-01,"KZN",52
2020-06-02,"KZN",53
2020-06-03,"KZN",54
2020-06-04,"KZN",55
2020-06-05,"KZN",55
2020-06-06,"KZN",61
2020-06-07,"KZN",61
2020-06-08,"KZN",62
2020-06-09,"KZN",62
2020-06-10,"KZN",64
2020-06-11,"KZN",64
2020-06-12,"KZN",64
2020-06-13,"KZN",64
2020-06-14,"KZN",69
2020-06-15,"KZN",69
2020-06-16,"KZN",73
2020-06-17,"KZN",73
2020-06-18,"KZN",73
2020-06-19,"KZN",80
2020-06-20,"KZN",83
2020-06-21,"KZN",84
2020-06-22,"KZN",87
2020-06-23,"KZN",91
2020-06-24,"KZN",91
2020-06-25,"KZN",106
2020-06-26,"KZN",106
2020-06-27,"KZN",109
2020-06-28,"KZN",109
2020-06-29,"KZN",115
2020-06-30,"KZN",126
2020-07-01,"KZN",136
2020-07-02,"KZN",152
2020-07-03,"KZN",162
2020-07-04,"KZN",162
2020-07-05,"KZN",183
2020-07-06,"KZN",183
2020-07-07,"KZN",205
2020-07-08,"KZN",223
2020-07-09,"KZN",249
2020-07-10,"KZN",260
2020-07-11,"KZN",273
2020-07-12,"KZN",280
2020-07-13,"KZN",286
2020-07-14,"KZN",313
2020-07-15,"KZN",317
2020-07-16,"KZN",358
2020-07-17,"KZN",378
2020-07-18,"KZN",401
2020-07-19,"KZN",416
2020-07-20,"KZN",429
2020-07-21,"KZN",459
2020-07-22,"KZN",477
2020-07-23,"KZN",515
2020-07-24,"KZN",565
2020-07-25,"KZN",602
2020-07-26,"KZN",614
